Name,Area_code,Descriptio,File_name,Number,Number0,Polygon_id,Unit_id,Code,Hectares,Area,Type_code,Descript0,Type_cod0,Descript1,Longitude,Latitude
Dorney CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,126,396,51587,11706,E04001583,554.135,0,AA,CIVIL ADMINISTRATION AREA,,,"493,105.85","178,631.35"
Farnham Royal CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,137,399,117864,11710,E04001584,445.539,0,AA,CIVIL ADMINISTRATION AREA,,,"496,180.35","184,615.55"
Wexham CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,143,402,51585,11705,E04001591,"1,107.751",0,AA,CIVIL ADMINISTRATION AREA,,,"500,524.6","182,397.6"
Stoke Poges CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,147,406,51576,11696,E04001589,"1,009.051",0,AA,CIVIL ADMINISTRATION AREA,,,"498,116.2","183,853.9"
Fulmer CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,149,408,51584,11703,E04001585,566.33,0,AA,CIVIL ADMINISTRATION AREA,,,"500,127.7","185,871.7"
Gerrards Cross CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,153,412,121237,11688,E04001586,"1,065.548",0,AA,CIVIL ADMINISTRATION AREA,,,"499,474.2","188,327.85"
Hedgerley CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,281,418,51965,11743,E04001587,679.376,0,AA,CIVIL ADMINISTRATION AREA,,,"496,899.95","187,455.05"
Great Missenden CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,54,423,123093,11780,E04001573,"2,277.256",0,AA,CIVIL ADMINISTRATION AREA,,,"489,006.4","200,750.45"
Chartridge CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,58,425,117563,11776,E04001567,"1,616.612",0,AA,CIVIL ADMINISTRATION AREA,,,"493,664.35","203,251.7"
Cholesbury-cum-St. Leonards CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,60,427,51904,11770,E04001571,970.069,0,AA,CIVIL ADMINISTRATION AREA,,,"491,478.685","206,374.4"
Chalfont St. Peter CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,62,428,51593,11712,E04001566,"1,610.198",0,AA,CIVIL ADMINISTRATION AREA,,,"500,842.916","191,799.95"
Amersham CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,64,429,51982,11760,E04001563,"2,074.271",0,AA,CIVIL ADMINISTRATION AREA,,,"495,940.45","197,363.7"
Penn CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,170,434,51967,11745,E04001576,"1,646.661",0,AA,CIVIL ADMINISTRATION AREA,,,"492,259.75","193,721.3"
Seer Green CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,173,436,51595,11714,E04001577,349.169,0,AA,CIVIL ADMINISTRATION AREA,,,"496,793.8",192339
Coleshill CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,174,437,51959,11737,E04001572,678.233,0,AA,CIVIL ADMINISTRATION AREA,,,"495,454.8","194,837.65"
Little Missenden CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,176,439,51977,11755,E04001575,"1,483.339",0,AA,CIVIL ADMINISTRATION AREA,,,"491,533.35","198,641.15"
Chesham CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,188,445,51985,11763,E04001569,"1,417.492",0,AA,CIVIL ADMINISTRATION AREA,,,"496,207.6","201,792.9"
The Lee CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,189,446,51912,11778,E04001578,891.473,0,AA,CIVIL ADMINISTRATION AREA,,,"490,047.25","204,886.1"
Chalfont St. Giles CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,190,447,51565,11684,E04001565,"1,329.713",0,AA,CIVIL ADMINISTRATION AREA,,,"498,928.35","193,820.15"
Little Chalfont CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,194,450,123092,43461,E04001579,529.298,0,AA,CIVIL ADMINISTRATION AREA,,,"499,318.1","196,916.05"
Chenies CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,196,452,121266,11680,E04001568,669.598,0,AA,CIVIL ADMINISTRATION AREA,,,"501,360.55","196,908.55"
Latimer CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,197,453,51560,11679,E04001574,901.276,0,AA,CIVIL ADMINISTRATION AREA,,,"499,293.05","201,040.25"
Ashley Green CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,199,454,51902,11768,E04001564,924.039,0,AA,CIVIL ADMINISTRATION AREA,,,"497,971.6","205,004.65"
Chesham Bois CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,296,457,51954,11732,E04001570,266.121,0,AA,CIVIL ADMINISTRATION AREA,,,"496,564.85","199,893.2"
Long Crendon CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,67,474,117592,12030,E04001505,"1,351.122",0,AA,CIVIL ADMINISTRATION AREA,,,"468,991.3","208,665.5"
Oakley CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,68,475,51659,12045,E04001517,"1,219.516",0,AA,CIVIL ADMINISTRATION AREA,,,"463,916.95","211,424.1"
Chilton CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,70,477,51648,12034,E04001471,838.665,0,AA,CIVIL ADMINISTRATION AREA,,,"468,137.9","211,723.75"
Stone with Bishopstone and Hartwell CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,72,479,51852,11890,E04001535,"1,329.261",0,AA,CIVIL ADMINISTRATION AREA,,,"479,540.65","212,093.55"
Grendon Underwood CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,74,481,51655,12041,E04001489,"1,039.198",0,AA,CIVIL ADMINISTRATION AREA,,,"468,736.15","220,933.55"
Wotton Underwood CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,75,482,51640,12026,E04001558,873.118,0,AA,CIVIL ADMINISTRATION AREA,,,"469,108.85","216,256.2"
Waddesdon CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,77,484,51636,12022,E04001544,"2,022.387",0,AA,CIVIL ADMINISTRATION AREA,,,"475,264.1","215,956.4"
Quainton CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,79,486,51652,12038,E04001524,"2,201.238",0,AA,CIVIL ADMINISTRATION AREA,,,"473,265.75","220,597.8"
Shalstone CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,81,488,51618,12080,E04001528,559.157,0,AA,CIVIL ADMINISTRATION AREA,,,"464,195.95","237,451.8"
Middle Claydon CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,83,490,51668,12054,E04001512,"1,068.175",0,AA,CIVIL ADMINISTRATION AREA,,,"472,111.55","225,341.95"
Hillesden CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,87,494,51606,12068,E04001493,"1,054.245",0,AA,CIVIL ADMINISTRATION AREA,,,"468,124.6","229,124.25"
Biddlesden CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,89,495,51624,12086,E04001461,"1,294.171",0,AA,CIVIL ADMINISTRATION AREA,,,"464,413.3","239,381.55"
Lillingstone Dayrell with Luffield Abbey CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,90,496,116272,12085,E04001502,861.845,0,AA,CIVIL ADMINISTRATION AREA,,,"468,577.45","240,509.2"
Aston Clinton CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,94,499,51871,11821,E04001457,"1,230.769",0,AA,CIVIL ADMINISTRATION AREA,,,"488,269.15","211,677.35"
Buckland CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,95,500,51875,11825,E04001466,495.982,0,AA,CIVIL ADMINISTRATION AREA,,,"489,628.229","211,696.75"
Drayton Beauchamp CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,96,501,51874,11824,E04001477,430.508,0,AA,CIVIL ADMINISTRATION AREA,,,"490,507.861","211,342.8"
Bierton with Broughton CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,97,502,51891,11841,E04001462,986.151,0,AA,CIVIL ADMINISTRATION AREA,,,"484,518.2","215,671.4"
Whitchurch CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,100,505,51779,11904,E04001552,694.136,0,AA,CIVIL ADMINISTRATION AREA,,,"480,639.65","220,885.55"
Ivinghoe CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,103,507,51948,11726,E04001498,"1,860.887",0,AA,CIVIL ADMINISTRATION AREA,,,"495,435.65","216,885.9"
Mentmore CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,104,508,51876,11826,E04001511,"1,117.786",0,AA,CIVIL ADMINISTRATION AREA,,,489831,"220,138.3"
Edlesborough CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,107,511,117591,11724,E04001482,"1,532.742",0,AA,CIVIL ADMINISTRATION AREA,,,"497,350.9","218,001.6"
Stewkley CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,109,513,51789,11914,E04001532,"1,611.644",0,AA,CIVIL ADMINISTRATION AREA,,,"484,714.75","225,301.65"
Mursley CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,110,514,51743,11955,E04001513,"1,203.963",0,AA,CIVIL ADMINISTRATION AREA,,,"482,253.5","229,263.55"
Soulbury CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,112,516,51715,12013,E04001530,"1,748.195",0,AA,CIVIL ADMINISTRATION AREA,,,"489,215.15","227,689.3"
Newton Longville CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,114,518,117596,11917,E04001515,749.169,0,AA,CIVIL ADMINISTRATION AREA,,,"484,289.45",231496
Lillingstone Lovell CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,115,519,51622,12084,E04001503,673.17,0,AA,CIVIL ADMINISTRATION AREA,,,"471,327.15","241,191.95"
Ickford CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,122,520,51645,12031,E04001497,414.724,0,AA,CIVIL ADMINISTRATION AREA,,,"464,952.6","208,138.75"
Shabbington CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,123,521,51647,12033,E04001527,659.872,0,AA,CIVIL ADMINISTRATION AREA,,,"466,988.15","207,465.5"
Kingsey CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,124,522,51718,12016,E04001499,578.983,0,AA,CIVIL ADMINISTRATION AREA,,,"474,617.05","206,248.1"
Wendover CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,185,523,51717,12015,E04001547,"1,836.03",0,AA,CIVIL ADMINISTRATION AREA,,,"487,588.8","206,393.7"
Worminghall CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,200,524,51646,12032,E04001557,611.625,0,AA,CIVIL ADMINISTRATION AREA,,,"464,272.497","208,967.8"
Boarstall CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,201,525,51611,12073,E04001463,"1,244.479",0,AA,CIVIL ADMINISTRATION AREA,,,"462,122.05","214,101.95"
Chearsley CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,202,526,51649,12035,E04001468,380.535,0,AA,CIVIL ADMINISTRATION AREA,,,"471,444.85","210,761.85"
Brill CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,203,527,51661,12047,E04001464,"1,102.464",0,AA,CIVIL ADMINISTRATION AREA,,,"465,641.35","214,691.75"
Dorton CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,204,528,51657,12043,E04001476,597.905,0,AA,CIVIL ADMINISTRATION AREA,,,"467,945.1","213,657.2"
Ashendon CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,205,529,51639,12025,E04001455,860.781,0,AA,CIVIL ADMINISTRATION AREA,,,"470,828.1","213,994.3"
Haddenham CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,206,530,51720,12018,E04001490,"1,324.293",0,AA,CIVIL ADMINISTRATION AREA,,,"473,307.4",208870
Cuddington CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,207,531,51637,12023,E04001474,524.487,0,AA,CIVIL ADMINISTRATION AREA,,,"474,098.9","211,239.65"
Dinton-with-Ford and Upton CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,208,532,51721,12019,E04001475,"1,577.439",0,AA,CIVIL ADMINISTRATION AREA,,,"478,072.65","210,022.35"
Nether Winchendon CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,209,533,51642,12028,E04001506,627.458,0,AA,CIVIL ADMINISTRATION AREA,,,"472,766.5","212,501.8"
Fleet Marston CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,210,534,51784,11909,E04001483,373.321,0,AA,CIVIL ADMINISTRATION AREA,,,"477,647.8","215,928.75"
Ludgershall CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,211,535,51663,12049,E04001507,"1,105.865",0,AA,CIVIL ADMINISTRATION AREA,,,"466,424.4","218,222.95"
Westcott CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,212,536,51651,12037,E04001549,749.317,0,AA,CIVIL ADMINISTRATION AREA,,,"471,609.65","216,787.85"
Marsh Gibbon CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,213,537,51610,12072,E04001509,"1,135.856",0,AA,CIVIL ADMINISTRATION AREA,,,"464,572.55","222,271.65"
Edgcott CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,214,538,51664,12050,E04001481,459.235,0,AA,CIVIL ADMINISTRATION AREA,,,"466,908.218","221,817.9"
Charndon CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,215,539,51665,12051,E04001467,512.108,0,AA,CIVIL ADMINISTRATION AREA,,,"466,903.05",224152
Calvert Green CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,216,540,123204,43515,E04001562,285.437,0,AA,CIVIL ADMINISTRATION AREA,,,"469,370.8","223,493.1"
Quarrendon CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,217,541,51785,11910,E04001525,787.905,0,AA,CIVIL ADMINISTRATION AREA,,,"479,056.2",216648
Hogshaw CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,218,542,51756,11968,E04001495,497.229,0,AA,CIVIL ADMINISTRATION AREA,,,"474,316.25","223,262.3"
Oving CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,219,543,51780,11905,E04001518,401.195,0,AA,CIVIL ADMINISTRATION AREA,,,"478,893.3","222,405.75"
North Marston CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,220,544,51781,11906,E04001516,799.896,0,AA,CIVIL ADMINISTRATION AREA,,,"477,193.3","222,612.65"
Poundon CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,221,545,51612,12074,E04001522,395.621,0,AA,CIVIL ADMINISTRATION AREA,,,"464,216.25","225,490.55"
Barton Hartshorn CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,222,546,51626,12088,E04001459,360.537,0,AA,CIVIL ADMINISTRATION AREA,,,"463,571.1","230,359.25"
Chetwode CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,223,547,51609,12071,E04001470,474.557,0,AA,CIVIL ADMINISTRATION AREA,,,"464,261.1","229,412.95"
Westbury CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,224,548,51625,12087,E04001548,558.182,0,AA,CIVIL ADMINISTRATION AREA,,,"462,309.55",236158
Turweston CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,225,549,51627,12089,E04001541,516.671,0,AA,CIVIL ADMINISTRATION AREA,,,"460,818.6",237406
Twyford CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,226,550,51666,12052,E04001542,633.47,0,AA,CIVIL ADMINISTRATION AREA,,,"466,590.45","226,184.2"
Steeple Claydon CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,227,551,117595,12053,E04001531,"1,323.364",0,AA,CIVIL ADMINISTRATION AREA,,,"470,482.6","226,293.45"
Preston Bissett CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,228,552,51614,12076,E04001523,615.195,0,AA,CIVIL ADMINISTRATION AREA,,,"466,413.05","228,730.3"
Tingewick CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,229,553,51615,12077,E04001540,882.102,0,AA,CIVIL ADMINISTRATION AREA,,,"465,572.4","232,308.05"
Padbury CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,230,554,51669,12055,E04001519,819.972,0,AA,CIVIL ADMINISTRATION AREA,,,"471,976.85","230,674.45"
Gawcott with Lenborough CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,231,555,51605,12067,E04001485,"1,037.213",0,AA,CIVIL ADMINISTRATION AREA,,,"468,684.5","231,473.05"
East Claydon CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,233,557,51758,11970,E04001480,967.467,0,AA,CIVIL ADMINISTRATION AREA,,,"473,598.3","225,086.55"
Granborough CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,234,558,51754,11966,E04001486,637.67,0,AA,CIVIL ADMINISTRATION AREA,,,"476,865.15","225,280.7"
Winslow CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,235,559,51751,11963,E04001555,776.341,0,AA,CIVIL ADMINISTRATION AREA,,,"476,814.95","227,655.3"
Swanbourne CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,236,560,51752,11964,E04001537,"1,031.852",0,AA,CIVIL ADMINISTRATION AREA,,,"479,710.9","226,889.05"
Little Horwood CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,237,561,51760,11972,E04001504,787.932,0,AA,CIVIL ADMINISTRATION AREA,,,"479,461.05","230,613.95"
Great Horwood CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,238,562,51630,12092,E04001488,"1,321.876",0,AA,CIVIL ADMINISTRATION AREA,,,"477,601.95","231,162.4"
Water Stratford CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,239,563,51616,12078,E04001545,445.221,0,AA,CIVIL ADMINISTRATION AREA,,,"465,380.35","235,784.25"
Buckingham CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,240,564,51601,12063,E04001465,"1,126.415",0,AA,CIVIL ADMINISTRATION AREA,,,"470,470.35","233,689.15"
Maids Moreton CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,241,565,123203,12064,E04001508,481.249,0,AA,CIVIL ADMINISTRATION AREA,,,"471,003.8","235,614.9"
Foscott CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,242,566,51677,12062,E04001484,291.508,0,AA,CIVIL ADMINISTRATION AREA,,,"472,336.25","236,116.5"
Stowe CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,243,567,51621,12083,E04001536,"1,231.267",0,AA,CIVIL ADMINISTRATION AREA,,,467503,"238,079.55"
Akeley CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,244,568,51620,12082,E04001454,534.815,0,AA,CIVIL ADMINISTRATION AREA,,,"470,406.1","237,847.55"
Thornborough CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,245,569,51764,11976,E04001538,966.931,0,AA,CIVIL ADMINISTRATION AREA,,,"474,604.3","233,546.1"
Thornton CP,CPC,Civil Parish or Community,BUCKINGHAMSHIRE_COUNTY,246,570,51763,11975,E04001539,546.599,0,AA,CIVIL ADMINISTRATION AREA,,,"475,699.8","235,855.05"
